,BLCODE,SUB,AGE,SEX,YEAR,DAY,TIME,ASH,PRXY_TSA,TSA,MCI,VENT,AVM,COMF,ACT10,ACT20,ACT30,ACT60,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,PCC_AG,PCS,PCEC1,PCEC2,PCEC3,PCEC4,PCEC5,PCEC6,PCEC7,PCED1,PCED2,PCED3,PCED4,PCED5,PCED6,PCED7,day15_ta,day06_ta,dayav_ta,day15_rh,day06_rh,dayav_rh,day15_et,day06_et,dayav_et
238,1.0,1.0,0,0,1986.0,196.0,0,-3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.04008058047108585,,0.04230000000000001,,0.0,,0.0,0,0,0.036144578313253094,0,0,0.0,0,0,0,0,0.0,0.06305993987975946,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1.0,1.0,28.05,0.49832872629789815,1.0,0.7469426281781009,0.8250000000000002,0.6990291262135925,0.739644970414201
239,1.0,328.0,0,1,1986.0,234.0,0,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.4736563844527092,,0.47470909090909097,,1.0,,0.0,0,0,1.0,0,0,0.6464646464646465,0,0,0,0,1.0,0.8713259398797596,0.9941367845750914,0.6464646464646465,0,0,1.0,1.0,1.0,0.8968253968253967,0.915492957746479,0.8169014084507044,1.0,1.0,0,0.6525794112582781,0,0.6525794112582781,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1.0,1.0,28.05,0.49832872629789815,1.0,0.7469426281781009,1.0,1.0,1.0
0,3.0,123.0,31.0,0.0,1983.0,6.0,1000.0,0,2.0,,1,,,,0.534482758794887,0.5166666667480555,0.8923076922244734,0.5810055864038014,0.4827586211077286,0.38033253117479765,,0.3818181818181818,,0.576470588235294,,0.8894472361809046,,,0.6024096385542168,,,0.1414141414141414,,,,,0.576470588235294,0.6232464929859718,0.651321964827128,0.1414141414141414,,,0.4723050419889502,0.5893645714285713,0.646341463414634,0.7857142857142858,0.7112676056338029,0.5868544600938967,0.8419864559819413,0.09574468085106384,,0.09271523178807947,,0.09271523178807947,,0.2653061224489796,,0.0,,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,
1,1.0,67.0,31.0,0.0,1983.0,9.0,1050.0,1,2.0,,1,,,,0.5689655170846016,0.5499999997558332,0.4769230770340354,0.34636871509111455,0.10344827638466093,0.2338656749070226,,0.23636363636363641,,0.8235294117647058,,0.984924623115578,,,0.6987951807228916,,,0.20202020202020202,,,,,0.8235294117647058,0.5110220440881764,0.7135858996794265,0.20202020202020202,,,0.6062496425414365,0.6055518163636364,0.6951219512195123,0.5793650793650793,0.4507042253521127,0.3004694835680751,0.6749435665914221,0.0,,0.11258278145695365,,0.11258278145695365,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
2,1.0,22.0,24.0,1.0,1983.0,348.0,1020.0,0,2.0,,2,,,,0.534482758794887,0.5166666667480555,0.4769230770340354,0.34636871509111455,0.068965517589774,0.37894698461314086,,0.3818181818181818,,0.7411764705882353,,0.8693467336683418,,,0.6626506024096385,,,0.10101010101010102,,,,,0.7411764705882353,0.557114228456914,0.7011331127089666,0.10101010101010102,,,0.37805741712707175,0.32383650259740254,0.6585365853658537,0.6825396825396826,0.5352112676056339,0.3896713615023475,0.744920993227991,0.01063829787234042,,0.052980132450331126,,0.052980132450331126,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,0.2105263157894741,0.176470588235294,23,0.20195353677747122,0.4257324552957597,0.3108441518274859,0.1625000000000001,0.12621359223300976,0.07100591715976345
3,1.0,10.0,38.0,0.0,1983.0,348.0,1045.0,-0.5,2.0,,2,,,,0.534482758794887,0.5166666667480555,0.4769230770340354,0.34636871509111455,0.068965517589774,0.24513235615838994,,0.2454545454545455,,0.7411764705882353,,0.8693467336683418,,,0.6626506024096385,,,0.08080808080808081,,,,,0.7411764705882353,0.5601202404809619,0.7011331127089666,0.08080808080808081,,,0.37805741712707175,0.32383650259740254,0.670731707317073,0.5952380952380951,0.4507042253521127,0.3004694835680751,0.6952595936794582,0.0,,0.039735099337748346,,0.039735099337748346,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,0.2105263157894741,0.176470588235294,23,0.20195353677747122,0.4257324552957597,0.3108441518274859,0.1499999999999999,0.12621359223300976,0.06508875739644977
4,1.0,3.0,38.0,0.0,1983.0,348.0,1130.0,0.1,2.0,,2,,,,0.5517241381923305,0.9666666665038889,0.8923076922244734,0.3575418995016947,0.551724137687158,0.4591992999343689,,0.4636363636363636,,0.7411764705882353,,0.8693467336683418,,,0.674698795180723,,,0.11111111111111112,,,,,0.7411764705882353,0.5781563126252505,0.7135858996794265,0.11111111111111112,,,0.37805741712707175,0.32383650259740254,0.670731707317073,0.8650793650793651,0.8380281690140845,0.7089201877934272,0.8848758465011287,0.15957446808510642,,0.059602649006622516,,0.059602649006622516,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,0.2105263157894741,0.176470588235294,23,0.20195353677747122,0.4257324552957597,0.3108441518274859,0.17499999999999982,0.15533980582524284,0.0946745562130178
5,1.0,20.0,38.0,0.0,1983.0,348.0,1420.0,0.6,2.0,,2,,,,0.5689655170846016,0.5499999997558332,0.507692307505065,0.3687150835849006,0.1379310341692032,0.4591992999343689,,0.4636363636363636,,0.6705882352941176,,0.8643216080402011,,,0.5903614457831328,,,0.11111111111111112,,,,,0.6705882352941176,0.49599198396793576,0.6264163908862086,0.11111111111111112,,,0.38959981767955804,0.3877476924675325,0.5975609756097562,0.6904761904761906,0.5422535211267606,0.403755868544601,0.7381489841986456,0.01063829787234042,,0.059602649006622516,,0.059602649006622516,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,0.2105263157894741,0.176470588235294,23,0.20195353677747122,0.4257324552957597,0.3108441518274859,0.1625000000000001,0.12621359223300976,0.07100591715976345
6,1.0,2.0,60.0,0.0,1983.0,348.0,1500.0,-0.5,2.0,,2,,,,0.5517241381923305,0.5833333332519444,0.5384615384268638,0.391061452406061,0.1810344834205707,0.3239991249179611,,0.32727272727272727,,0.6705882352941176,,0.8643216080402011,,,0.5903614457831328,,,0.09090909090909093,,,,,0.6705882352941176,0.49899799599198397,0.6264163908862086,0.09090909090909093,,,0.38959981767955804,0.3877476924675325,0.5975609756097562,0.6349206349206349,0.471830985915493,0.3145539906103287,0.7404063205417607,0.01063829787234042,,0.046357615894039736,,0.046357615894039736,,0.2653061224489796,,0.0,,,0.0,1.0,,0.0,,,,,,,,0.2105263157894741,0.176470588235294,23,0.20195353677747122,0.4257324552957597,0.3108441518274859,0.1625000000000001,0.12621359223300976,0.07100591715976345
7,1.0,32.0,31.0,0.0,1983.0,348.0,1530.0,0,2.0,,2,,,,0.5689655170846016,0.5499999997558332,0.507692307505065,0.3687150835849006,0.1379310341692032,0.2338656749070226,,0.23636363636363641,,0.6705882352941176,,0.8693467336683418,,,0.6385542168674699,,,0.11111111111111112,,,,,0.6705882352941176,0.5831663326653307,0.6762275387680473,0.11111111111111112,,,0.4001679143646408,0.40440425324675333,0.646341463414634,0.5793650793650793,0.44366197183098594,0.29577464788732394,0.6681715575620768,0.0,,0.059602649006622516,,0.059602649006622516,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,0.2105263157894741,0.176470588235294,23,0.20195353677747122,0.4257324552957597,0.3108441518274859,0.1499999999999999,0.12621359223300976,0.06508875739644977
